name,logFC,AveExpr,t,P.Value,adj.P.Val,B
CLDN15,0.34649793480124,0.703280683757062,38.62803722748844,1.236462277227531e-237,1.6756536780987498e-233,532.8938582212613
DNHD1,0.3242688928684683,0.7421438100123449,35.00312805627307,1.0292060151185153e-204,4.6492666389620396e-201,457.11697151567785
FAM193A,0.38170315010882977,0.6645227326564501,33.86437017450902,1.7526236000916483e-194,5.937888757110505e-191,433.568794002126
PTK6,-0.22386053792501667,0.18323592660452623,-32.05178964210133,2.3516455237687538e-178,5.311583356352358e-175,396.45187828608323
RGS22,0.4428161784046961,0.5028946253855336,31.19259595253564,8.615077234956205e-171,1.6678789526875213e-167,379.0453291520275
FXYD1,0.2995719880015775,0.6001036978191245,30.728238185906104,9.964367862737839e-167,1.6879639159477898e-163,369.6952110084494
ZNF571-AS1,0.25478827295835926,0.5960351516907134,30.110857944150133,2.3523327547182813e-161,3.187881349194215e-158,357.33131787408973
MIR1286,0.25801326580772105,0.7729619218108239,29.957794153083327,4.991345008755169e-160,6.149337050786368e-157,354.2784934403789
RARRES2,0.3948352992035135,0.5969127216466908,29.896844211605977,1.6822901996092939e-159,1.8998663987587623e-156,353.06428564399835
SEC31B,0.3010208452880373,0.5825388281107391,29.801436257680344,1.1251163732386107e-158,1.1728905453945886e-155,351.16527570429713
ZSCAN18,0.21234999503146892,0.2521715072583932,29.72128639680854,5.544097601400683e-158,5.366686478155861e-155,349.5715340846797
TRIM59,0.318250233690259,0.5067134884877458,29.616903684318267,4.415099938647221e-157,3.9888956245698095e-154,347.49810492085663
MOV10L1,0.2546648974379357,0.5452845106881019,29.411998200242202,2.574594634649595e-155,2.052406264045371e-152,343.435165797135
LCAT,0.2826761697052337,0.7120294463114956,29.090802938736495,1.4793268174523115e-152,1.113768723895207e-149,337.0861619586926
LINC00176,0.27501195879515983,0.6909965251057433,28.79291829297517,5.242798798783518e-150,3.7394952274270655e-147,331.22015774636793
NPR2,0.3273010638045437,0.5895318519460354,28.75065005823896,1.2038088564461682e-149,8.157008811279236e-147,330.3895766843378
MIR8085,0.31805162098663414,0.7524741383637109,28.294261778096992,9.2449327709214e-146,5.694878586887582e-143,321.45029784200045
MIR663AHG,0.34862871364570325,0.3877828151794863,28.23332032982128,3.0405566903902678e-145,1.7915488812247354e-142,320.2607132049614
LEP,0.3447349258998136,0.48240262969759923,28.14625627384359,1.6630363984943225e-144,9.014987708958024e-142,318.56291235977005
PFN3,0.3839449660634477,0.6106362558866785,28.137839948775422,1.9597103158379213e-144,1.0214613153936736e-141,318.39889561438395
LINC00577,0.34593681505542445,0.44651364896923823,28.0845658742628,5.536794847246899e-144,2.779060880366295e-141,317.3611323679225
LOC101929415,0.37596358519992035,0.40547628310726136,27.96367433630179,5.82929299472503e-143,2.8213778094469144e-140,315.0090250442683
MIR25,0.24920520605394544,0.6263712702319133,27.817657091395212,9.95806044175972e-142,4.498387836890924e-139,312.1733469267948
CCDC36,0.31698492043654725,0.6539603864732153,27.73230962538917,5.2172167054911006e-141,2.2807651868650128e-138,310.5185939625275
NEXN,0.27196393778759775,0.42327597360784086,27.491187999390874,5.555847256001174e-139,2.3529013129164974e-136,305.8545912003413
ZNF350-AS1,0.34651355384002397,0.4269812684531385,27.464985315595072,9.217897373478859e-139,3.785483188041985e-136,305.3487411296723
CA3,0.36052489163352625,0.40090231681647237,27.41453454382074,2.442052960102673e-138,9.733735798621007e-136,304.37532557814257
CPA1,0.2549828966330112,0.775113178077486,27.28877920208975,2.761055179579759e-137,1.0690805655332826e-134,301.95213164375707
SOX1,0.32562303922471914,0.3612804196556659,27.267525403423395,4.1581594428483297e-137,1.5653160213744602e-134,301.5430403799964
CCDC8,0.3156413871602924,0.438405053957685,27.105976401781046,9.304430373757653e-136,3.4079362277071273e-133,298.4378602927336
GNG11,0.2678601837678783,0.5365821069151523,26.960807063900592,1.5093542915911284e-134,5.3828340420113085e-132,295.6540712025684
SYNPO,0.33913631495506075,0.45657041998583237,26.902873882534344,4.580928607465163e-134,1.552018612209197e-131,294.54488743584716
PRLHR,0.27577800583237394,0.3521126444858418,26.77777512700252,5.019140011833442e-133,1.6590094009845565e-130,292.1532012057429
APCDD1,0.2568852435072841,0.31067020707644116,26.699949000410104,2.2202168364493895e-132,7.163899658943364e-130,290.6676860987359
HOXD10,0.27607817524354683,0.358188926605542,26.586772700555617,1.9233192883599584e-131,6.061586743221898e-129,288.5107307363301
PINLYP,0.27742359474320566,0.3790117359268827,26.500357544656676,9.973392409440748e-131,2.938248128972631e-128,286.86646292076085
TAGLN,0.32421501768477,0.46681566795081464,26.493951380911742,1.1266582530617041e-130,3.248611201168556e-128,286.74466180696476
CMTM5,0.3086322055519309,0.6076077553502454,26.443176697026793,2.9598371829700676e-130,8.356606979918824e-128,285.7797302628545
ZNF300P1,0.2771539410059938,0.3219349855885295,26.377530266997585,1.030597828273333e-129,2.850339136481675e-127,284.5333708816973
MRVI1,0.3107231083610167,0.5359337273667731,26.156955191186004,6.750205864279085e-128,1.8295757974542034e-125,280.3555400053477
HOXD12,0.24861083606801077,0.3982389155417887,26.130035085833757,1.1233594357384046e-127,2.985052367279777e-125,279.84672107748014
ZNF728,0.2608582517981644,0.30734873974486204,26.015353431371093,9.811178160838004e-127,2.5569439699168585e-124,277.6817382964771
MXRA7,0.20088006031910888,0.31793863395162475,25.836660520448696,2.848233190479048e-125,7.282878527806049e-123,274.3168901012093
PENK,0.26500455916359816,0.3339188079366311,25.82308386272489,3.6773424544053116e-125,9.228767581870515e-123,274.0616667437018
EMILIN1,0.2805865269019571,0.5118978179234571,25.674523450371773,5.997219335382756e-124,1.4258652005808264e-121,271.2729311803994
ZIC5,0.33449454375700455,0.48782058693415437,25.559370562419407,5.1942709231988074e-123,1.2136682681239696e-120,269.1164035171732
LOC100506470,-0.32783019316724227,0.5295818139033066,-25.416073528796126,7.577653560728016e-122,1.7115393509164346e-119,266.43908891927134
MIR199A1,0.2760695806956645,0.6854123903447261,25.36047319388152,2.1397431381296054e-121,4.753737542284002e-119,265.40216386981893
ISLR,0.28682659386264087,0.644341792751166,25.342217479585816,3.00804961541885e-121,6.575014256154235e-119,265.06193404338296
SMIM17,0.2685754003624177,0.37092198402042265,25.31455995096161,5.038428255074882e-121,1.0838219002027746e-118,264.5467030036602
CRYAB,0.2830762474543603,0.5329036482098093,25.133108146856657,1.476045540308063e-119,3.0308135094325564e-117,261.1730433325943
DBX1,0.22224906864643995,0.2956961514585321,25.122712162653656,1.7905528585276693e-119,3.6217272147413394e-117,260.980104078367
SLC35F4,0.34686881307581235,0.3654503623418301,25.071154637617195,4.6641501570559654e-119,9.295376901238593e-117,260.0238099765293
NKX1-1,0.33074379537043375,0.3599669496392476,25.028522671873972,1.0286583952842604e-118,2.0203447207090286e-116,259.23377779907975
FAM181A,0.23351803867220525,0.7707998713579153,25.00108099765925,1.7109200527800974e-118,3.3123412221822685e-116,258.72558482863
GALR2,0.2563244313670871,0.2774945125016514,24.982137880528914,2.430473818201637e-118,4.6391241104603644e-116,258.3749330653397
CCDC181,0.397339217715417,0.40649317721289574,24.947081138356044,4.652590844825187e-118,8.75720987903763e-116,257.7263430174746
UNQ6494,0.2617986876356902,0.669722808472602,24.880822477783592,1.5855322457983899e-117,2.8649510660079707e-115,256.50168208782077
COLCA2,0.2019303588917881,0.35597117849738524,24.840490312979345,3.3416927705180146e-117,5.958765845534228e-115,255.75699327471577
LOC100132111,0.32384764179348263,0.5085068277616188,24.6697268035422,7.799355511491767e-116,1.372686570022551e-113,252.61055665298088
MIR3183,0.20570538653818432,0.8372799425778955,24.493344811566125,1.9967603354397127e-114,3.469243085369101e-112,249.37179548126804
LHFPL4,0.31404859520389244,0.39287697635492713,24.4236559667603,7.167441580136145e-114,1.2295337758734815e-111,248.09532817951592
TCL1A,0.21945898689585094,0.45872304194899655,24.389647263934176,1.3364203934035142e-113,2.263896146425553e-111,247.47305973458546
WT1,0.20882726818830824,0.31379835930315775,24.33098811932204,3.910256564143085e-113,6.542197155218158e-111,246.40077217356142
C6orf201,0.28161372726328776,0.5613298636151114,24.329605847247795,4.0103820283910413e-113,6.627889908384804e-111,246.37551986277361
FSTL1,0.30014071487429106,0.33867187259765436,24.305977543429847,6.177833462030932e-113,1.0086987840655808e-110,245.94397274814082
ZPBP2,0.28804390477975317,0.6122220739330703,24.21767279588283,3.0997429878358536e-112,5.000918687041844e-110,244.33304180534924
CX3CL1,0.27990363269353974,0.5850219511423032,24.11130157204749,2.1549194942508184e-111,3.4357022336573047e-109,242.39645961358696
CYP26C1,0.23610076578098554,0.5905024738006416,24.104332382755686,2.446462870046917e-111,3.855170327311142e-109,242.26973020021802
LINC00710,-0.3221655883633669,0.6096307828337363,-24.083782496788093,3.556200532592463e-111,5.539497657206099e-109,241.89615451793344
IFITM2,0.23202312665802405,0.6264264408508353,24.06072487769919,5.4097129587976165e-111,8.330957956548329e-109,241.47718381035529
LOC100288866,0.2838748889063675,0.61295409066189,24.04656475015333,6.998671456785625e-111,1.065685343622009e-108,241.21998713699443
DCDC2C,0.24198208660966633,0.4237335768631894,23.943940844210992,4.514133239138151e-110,6.578014371698948e-108,239.3582960192242
DPP6,0.23134058855854353,0.2575304802569673,23.942246164286157,4.655091708698976e-110,6.6470788651239674e-108,239.32758720021673
PTPRVP,0.29779195953999127,0.6159760361417844,23.942192507300536,4.659625827824505e-110,6.6470788651239674e-108,239.3266149152571
HSPB6,0.2939347595835093,0.4291077166789812,23.934593126857536,5.34844123303405e-110,7.550216207299734e-108,239.18892254650783
SYCE1,0.23085410708050302,0.6911852631255417,23.912597030650183,7.970430121960504e-110,1.113559474358853e-107,238.79050409831942
RUVBL1-AS1,0.33246983585653445,0.4320361471529419,23.61319516567649,1.7848579792640978e-107,2.4188395334987055e-105,233.38625726714275
RSPH6A,0.24293677990195486,0.620918676875738,23.584023740426325,3.018299796894263e-107,4.049900875991193e-105,232.86160520676071
CLEC11A,0.2962923714185955,0.43177933507236443,23.532607696555527,7.612817496301579e-107,1.01145983048901e-104,231.9377086840955
LOC400548,0.23947218552056496,0.6598445358020096,23.456927114478738,2.9655574985452894e-106,3.901867497115123e-104,230.57973202236283
LINC01475,0.237150162500737,0.3626105442557955,23.33602085433497,2.591222718638715e-105,3.3444047888563685e-103,228.41504763423472
PAUPAR,0.21005684577057798,0.32152166175456826,23.265897508529456,9.084921851926734e-105,1.1614986880878407e-102,227.16229596003302
EEF1A2,0.24216466951576562,0.3296291955661939,23.146823849327863,7.611271163345748e-104,9.550735815339036e-102,225.03966698877727
ECEL1P2,0.28951496467823556,0.3991149796995169,23.099372753421992,1.7726569917957667e-103,2.203949316772131e-101,224.1954249477688
CACNA1B,0.3213318684323663,0.4525109111333975,23.094769631781094,1.9240720893100965e-103,2.370456814030039e-101,224.1135766133361
HIST1H3E,0.2971792028057752,0.6290144936631367,23.067960044149867,3.100761696118985e-103,3.7857227482706744e-101,223.63704883989712
ADAMTS20,0.24162625717377412,0.2680086238172535,23.007872306163115,9.026041003977476e-103,1.0824859087248032e-100,222.57010417801308
PCAT7,-0.24345670510970555,0.4991273883579073,-23.00707660704275,9.154565623873833e-103,1.0882690643398086e-100,222.55598549327695
NNMT,0.28585215893670135,0.598899293245354,22.99339704407833,1.167308297507167e-102,1.3755966998101849e-100,222.3133001505872
IFFO1,0.22100535654923817,0.6230061237591624,22.96956888890439,1.7822001052852555e-102,2.0821013643815332e-100,221.89075837504194
PROB1,0.2734432049373384,0.7752241149389347,22.800547488152606,3.5607945572144666e-101,4.124434858065851e-99,218.90037612812762
MAP7D2,0.23766325899097912,0.5977638174888621,22.658287254200193,4.3869083708792846e-100,4.995914474130761e-98,216.39285181398452
TTC34,0.23941434948731816,0.27143106561295993,22.640444231647532,6.007377591384959e-100,6.784331759870747e-98,216.0789558382559
FEZ1,0.24824086940267132,0.5223955442872594,22.632988282189046,6.850414224026034e-100,7.672463930909158e-98,215.94783064222804
SCGB1B2P,0.32371863510108695,0.41807704119332667,22.618609282702128,8.824198010736764e-100,9.802092741106936e-98,215.69501965090575
UNC5D,0.2987567350684105,0.3150482044710111,22.580296992358434,1.7316794155116219e-99,1.8925580192752824e-97,215.02184905849668
SLC12A5,0.2733842130168309,0.39779760274256887,22.527901322302917,4.349561046371885e-99,4.715620104034543e-97,214.10225056595175
NOX4,0.2809947475796175,0.36461440781995424,22.473890754233157,1.1225700664230782e-98,1.1978794913516185e-96,213.15555380913847
PHOX2A,0.2395586623801981,0.26188663456711153,22.41247798242066,3.2941905854036336e-98,3.487724282296097e-96,212.0806531557545
LUZP1,0.2557127542699313,0.5617053736494148,22.378491645248232,5.972839680061038e-98,6.274722739859472e-96,211.48650209035353
CLDN10,0.2965800442204622,0.48319282764474425,22.369175867245552,7.030397835943417e-98,7.328919344054245e-96,211.32373143299108
LINC00461,0.2100284932184774,0.2711759340212142,22.320438919969284,1.6485724584094552e-97,1.705454500485873e-95,210.47279204883844
UTF1,0.25329301204595756,0.2640363017571962,22.29655820267009,2.5020917050662626e-97,2.5688141505346965e-95,210.05621973565266
HOXD9,0.2621937406226709,0.29416117828526883,22.21105214313328,1.112217474077072e-96,1.1165015710142577e-94,208.56672668670018
LOC101927418,0.310299643108809,0.36925220195053765,22.203177001607834,1.2758217744608462e-96,1.271318874080396e-94,208.4297065589262
TCERG1L,0.31935265537456803,0.33326365835966065,22.149361509068417,3.2565331110387113e-96,3.1980099073041024e-94,207.49410456835702
RYR2,0.29423075604529564,0.3023054906789352,22.008598978666942,3.7548635159572954e-95,3.583514814665723e-93,205.05301080153362
HSPB2,0.2515650130574002,0.31576666658587926,21.976393197808882,6.56141596720404e-95,6.17502147135758e-93,204.49575088080266
HSPB2-C11orf52,0.2515650130574002,0.31576666658587926,21.976393197808882,6.56141596720404e-95,6.17502147135758e-93,204.49575088080266
MIR663A,0.32861763539141975,0.36609028717794123,21.923623108728425,1.6358569462309967e-94,1.5289057472636185e-92,203.58367673138233
HAS1,0.23825371719490648,0.36017595653454937,21.872736430748684,3.9429102095871904e-94,3.6598848739949046e-92,202.7053497689547
USP6,0.29526066671038337,0.3979558872602814,21.869562390712492,4.1651596352238786e-94,3.839880501806395e-92,202.6506033662509
TAL1,0.21875163764469882,0.2823005791397976,21.868443560454313,4.246447333666614e-94,3.888368531476348e-92,202.63130667639314
DRD5P2,0.25824462314316043,0.38156513400942366,21.86059755113032,4.862772920188397e-94,4.3933532409595433e-92,202.49600097498248
LOC101060524,0.25824462314316043,0.38156513400942366,21.86059755113032,4.862772920188397e-94,4.3933532409595433e-92,202.49600097498248
LOC643387,0.26887465460132653,0.35490347823355434,21.737644443616375,4.051857938320435e-93,3.6097165441974896e-91,200.37932346531792
XKR4,0.3267242562820673,0.35165859799433075,21.73730914072421,4.075314575429574e-93,3.6097165441974896e-91,200.37356057778743
LOC255187,0.2662939551817732,0.5309368023031268,21.705562164499778,7.03752125241494e-93,6.193018702125147e-91,199.82815576950063
TMEM132D,0.24908928680925752,0.2696113873369386,21.535979251966964,1.292352631346999e-91,1.1155390356697154e-89,196.9226455581833
FCGRT,0.2194283121320139,0.32901475985946643,21.52326447933133,1.606632248975837e-91,1.378043053045604e-89,196.70533760794368
ZNF454,0.29882593946261327,0.30670891018362095,21.520289422320563,1.690563904712669e-91,1.4409133356393768e-89,196.65450183842282
LINC01213,-0.24084607785148254,0.33662792577117834,-21.51635805505587,1.8082260060212346e-91,1.5315674270999857e-89,196.5873316131259
ZNF876P,0.32316714539618563,0.39030858368392546,21.502930745645163,2.2752646352267346e-91,1.9151792755647645e-89,196.3579707759993
UCN,0.26780619393100397,0.6610045279660047,21.49963113928869,2.4073871760344306e-91,2.013883395655469e-89,196.30162087536098
ATXN7L1,0.3024313992143929,0.40246906286458844,21.461291498948956,4.636866189233371e-91,3.831634792468942e-89,195.6472385213072
C10orf90,-0.24064336594964092,0.44213615166163983,-21.43456920523744,7.319250297813699e-91,6.011544244604319e-89,195.19154832809772
HORMAD2,0.2307143471763794,0.5596586527847729,21.34073205675671,3.626262440091582e-90,2.942701113061145e-88,193.5940187048659
PRSS30P,0.21685588451962784,0.6361111692887466,21.314378659207673,5.67962662268497e-90,4.5815654756325424e-88,193.14611215209317
TUBB6,0.268002529537341,0.2990923825843944,21.297310507118123,7.593610180333071e-90,6.08926657774401e-88,192.85619437098828
FOXG1,0.25836040844703967,0.2933220439561396,21.247149311940774,1.781473136472126e-89,1.4118435055830555e-87,192.0049609603874
LOC494141,0.25135711150156015,0.6151953631700795,21.208716580970044,3.421147265535556e-89,2.6955457989847593e-87,191.35356803796046
NRN1,0.24279803425816798,0.28530160302060065,21.188761955992973,4.7994546050383986e-89,3.759665248987305e-87,191.0156363875077
CPT1B,0.23997807956120928,0.5986448947358763,21.183720067380303,5.227886326941572e-89,4.071742270270815e-87,190.9302820468679
DAW1,0.26687587861253065,0.31319281713416947,21.175413745549786,6.0185514962789345e-89,4.660766278718407e-87,190.78969044924804
NETO1,0.2594159638242253,0.2665117779139989,21.099640230001768,2.171763482079962e-88,1.662810096562014e-86,189.50868296315485
MEF2C-AS1,0.24127043547327243,0.3598381129873087,21.092916286280524,2.433381856586199e-88,1.8526511753065266e-86,189.39514268112634
ELN,0.20021019458739478,0.3559501004715668,21.074865291087114,3.301993878915354e-88,2.499922963522954e-86,189.0904416536108
SLIT2,0.214888516040477,0.22317372784891373,21.04959446318113,5.061168204805759e-88,3.810497306195981e-86,188.6641331149556
DTX1,0.23009437100729743,0.5333240632181026,20.971978965116033,1.875320543492433e-87,1.3963925277697502e-85,187.35671774720018
CRMP1,0.21373631363854312,0.2418830699117862,20.96506582051062,2.1070711465645226e-87,1.5603840534558694e-85,187.2404087252357
PRDM14,0.2731907652347434,0.3310737929473136,20.901011013173267,6.195538574346742e-87,4.563148845627557e-85,186.16383269010444
DDX11L10,-0.2354761757646042,0.37642199377606406,-20.87687013717024,9.297908148652138e-87,6.774475872609343e-85,185.7586121968468
OR8B8,-0.28852767175450045,0.6257806286548633,-20.876137589242855,9.413113479613773e-87,6.821738709931864e-85,185.74632033813984
F10-AS1,0.22552909147929567,0.6576798579078315,20.850844330464323,1.4398591636441106e-86,1.0379240098779248e-84,185.3220702647542
MIR4740,0.22929165295654177,0.4467487843214545,20.806900432615933,3.0108937876668905e-86,2.1475596110769317e-84,184.58573192428724
IL32,0.2333045328553245,0.6049551390522204,20.773610717250136,5.261674454829964e-86,3.7333095398877317e-84,184.0285483219888
FILIP1,0.24633020790559798,0.5298569074237847,20.746373937596996,8.304201910607309e-86,5.861382515236992e-84,183.57307994672993
LILRA4,-0.251458011794407,0.5394945162322907,-20.70460776200041,1.670632554789381e-85,1.1670315661085407e-83,182.87535229565773
LOC101927391,-0.26527057209489907,0.42088947692115436,-20.67036023501874,2.9616678322278087e-85,2.037386927022907e-83,182.3038701052446
LOC284395,0.3021771660294953,0.29581500912306574,20.64528483806592,4.502340574042725e-85,3.081601992900354e-83,181.88580935031018
GREM1,0.2566187791047916,0.2748368403122287,20.626941118981556,6.115362363472965e-85,4.164592499989227e-83,181.58017740078242
FLJ32255,0.21953034586026413,0.34840661024262515,20.62040564572844,6.819995312311854e-85,4.621228823622513e-83,181.47132761692438
PHYHIPL,0.23349358474945853,0.2589517091491676,20.596972976323354,1.0081446783860006e-84,6.79720232909805e-83,181.08122552873
COX4I2,0.2817212567930612,0.45932115582824923,20.583007471154865,1.2724141342553914e-84,8.536513043281714e-83,180.8488605495801
NKX6-2,0.2792973053828275,0.31330048808410565,20.45397162925869,1.0884730877087813e-83,7.160673439140488e-82,178.70650063676362
PTPRN,0.21167027857239878,0.24654692918566576,20.44927269792852,1.1767822651103806e-83,7.704228626461777e-82,178.6286423415407
MIR4535,-0.2626809016647023,0.5704128305756059,-20.445868033806427,1.2452028833494855e-83,8.112975709207803e-82,178.57223615392326
LOC100631378,0.21533894717933827,0.4073783544282606,20.414958173694547,2.0794679088997644e-83,1.3483707704023734e-81,178.06040883037286
GPR158-AS1,0.20246308741333185,0.2236799010859736,20.406328590037386,2.3993474950762058e-83,1.5483789168225114e-81,177.91759988620217
TRIM71,0.25417432937539014,0.2585326809717935,20.391794602905286,3.0529142305660975e-83,1.9608101257171445e-81,177.6771651250434
ABLIM1,0.2710187002452362,0.38292182658603624,20.284815170231983,1.7921643931438114e-82,1.1349257876581743e-80,175.91069413666597
POU4F2,0.2008200610138277,0.2145378995893037,20.257208517071177,2.8270226526947635e-82,1.781944697177648e-80,175.4557875335355
TLX3,0.250025959537443,0.310181189312803,20.239405021073647,3.79226936248367e-82,2.3792978889064213e-80,175.16262435402254
BNC1,0.2089836224068584,0.22561634177095094,20.19437576244666,7.966039106839111e-82,4.9294868482138645e-80,174.42186591164193
SCTR,0.244238240294497,0.38842516807245875,20.178206033265813,1.0396445284389214e-81,6.375231968056227e-80,174.1561166262791
CR1,0.2665160593804477,0.26984102553613376,20.09253386987965,4.252353133911109e-81,2.5726736460162208e-79,172.75032931562183
TAC1,0.2618899431888005,0.312738014914984,20.09224105645484,4.272847339052531e-81,2.5735834283928847e-79,172.74553102316506
SPARC,0.23789985169943503,0.31124024274303036,20.072980214676683,5.8617147390923905e-81,3.4841209712359683e-79,172.4300031689989
NKX2-4,0.279052081039383,0.3580703816038304,20.064988523699018,6.683006763502984e-81,3.9549391990826394e-79,172.29914068162392
TMEM215,0.21063194820476122,0.2462307459451567,20.047224627750328,8.943408081053483e-81,5.2696115788885564e-79,172.0083779604946
ADCY4,0.26274777649221775,0.5704842117257777,20.01222657659382,1.587034512818005e-80,9.270470567978277e-79,171.43599968026848
AKR7L,0.23673096048517464,0.44505796434172135,20.009517348294366,1.6590395045151366e-80,9.649486422827953e-79,171.39171778136784
NKX2-6,0.20787528520961726,0.22359249997828393,19.996481407237308,2.0537927269434273e-80,1.1894444032280909e-78,171.1787004930897
LINC00898,-0.22038469541597586,0.5247497672701367,-19.96993565163302,3.1710912386044724e-80,1.8209588332867717e-78,170.74519434714838
PAM,0.20200087677610284,0.2898874978837752,19.90883976398221,8.605931839357007e-80,4.859482845290256e-78,169.7488549815452
EPHX3,0.21401718815400833,0.5269324998598409,19.87414900488588,1.515724886050091e-79,8.523279525207814e-78,169.1839891446244
SMIM24,0.20642389896981056,0.5421379341491006,19.786638141892254,6.302695655278731e-79,3.514984836227875e-77,167.76185113810024
SLC26A1,-0.32689614686297275,0.5588896428452597,-19.763141783851562,9.234331277659623e-79,5.128838421100131e-77,167.38069517841132
ZNF677,0.2274789093967782,0.24138565375395932,19.733648577877563,1.490883552776835e-78,8.17994085313023e-77,166.9026693883364
WFIKKN2,0.22375463904366777,0.6106929339980225,19.698186229004044,2.6504839570674946e-78,1.4425445215332807e-76,166.32850200026184
OXT,0.2117138476188527,0.7385900882352869,19.688402862342382,3.106076786952238e-78,1.683742104671069e-76,166.17021716721572
TEK,0.2078290441437826,0.4271717011719567,19.685479405879004,3.2568121263913933e-78,1.7584190413090105e-76,166.12292844451238
WBSCR17,0.29777975296464687,0.30737824087812693,19.654948084905246,5.340848891815613e-78,2.8608373194421026e-76,165.62933516988596
HMX2,0.20683101948559032,0.23847853392029264,19.654665970404867,5.36530294487286e-78,2.862621476729015e-76,165.62477658342414
LRP4,0.20413413454169602,0.4088255158444418,19.652650801219206,5.543260795004229e-78,2.945971384074405e-76,165.59221541589727
LINC00606,0.21835526782260115,0.6009934435620573,19.648714560382945,5.908034849378367e-78,3.1275659483896734e-76,165.52861970913213
KIAA1549L,-0.27860856042664034,0.6440778097398501,-19.63128132327302,7.833981528133673e-78,4.099077902288322e-76,165.24705896298738
SOGA3,0.22092245818403197,0.26615973404090615,19.625639595984516,8.58269677258331e-78,4.456425542607242e-76,165.15597502413684
LOC284930,-0.20061670327089023,0.5620983368494162,-19.59130161590876,1.4953406942005306e-77,7.734678277788393e-76,164.6019629944229
EDN3,0.30525996872920114,0.3123265723055345,19.580356833734978,1.7845800837996892e-77,9.19567653827125e-76,164.42551046345918
INA,0.2489184336856381,0.26985432488587074,19.57973146872118,1.8026988831660714e-77,9.253854266919167e-76,164.4154302082665
JAK3,0.23039300891405634,0.3434339785422484,19.521578772154722,4.607775931808103e-77,2.356399223692959e-75,163.4789767987563
